ID,Pages,Test,Domain,Skill,Source_PDF
ff501705,4,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
2937ef4f,5,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
9bbce683,6,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
2b15d65f,7,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
e25f0807,8,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
be9cb6a2,9,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
db422e7f,10,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
45cfb9de,11,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
f14484a5,12,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
b7e6394d,13,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
ee2f611f,14,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
25e1cfed,15,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
fdee0fbf,16,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
f75bd744,17,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
b3abf40f,18,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
e6cb2402,19,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
b988eeec,20,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
70feb725,21,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
1a621af4,22,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
af2ba762,23,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
b9835972,24,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
e1248a5c,25,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
05bb1af9,26,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
52cb8ea4,27,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
0b46bad5,28,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
c362c210,29,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
94b48cbf,30,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
50f4cb9c,31,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
16889ef3,32,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
d7bf55e1,33,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
771bd0ca,34,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
a309803e,35,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
55ea82f3,36,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
98d3393a,37,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
0b0fa68b,38,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
6989c80a,39,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
e8f9e117,40,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
a7e2859a,41,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
f718c9cf,42,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
466b87e3,43,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
aee9fd2d,44,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
0366d965,45,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
6d8ad460,46,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
963da34c,47,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
e2e3942f,48,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
2d54c272,49,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
1e0a46e4,50,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
dba6a25a,51,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-hard.pdf
c984f1a5,52,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-hard.pdf
acd30391,53,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-hard.pdf
14e7c1f4,54,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-hard.pdf
25da87f8,55,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-hard.pdf
459dd6c5,56,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-hard.pdf
310c87fe,57,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-hard.pdf
0147b080,1,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
6f626ae5,2,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
85439572,3,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
a9040290,4,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
01989d77,5,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
8a8236e1,6,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
4603d1f7,7,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
6df33868,8,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
20000f5f,9,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
c228bd45,10,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
6bc0e595,11,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
0fc0a773,12,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
9debe79a,13,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
e7dc27dc,14,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
30c3aa98,15,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
c4d43991,16,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
4042ff0b,17,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
40578580,18,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
a9ac31e4,19,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
dbbbc5dd,20,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
8a3ecac6,21,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
4025e00c,22,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
2592e0de,23,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
89961e26,24,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
628e1305,25,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
25b70215,26,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
08b28c1a,27,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
de0a5b4e,28,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
6675c5c3,29,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
25893fc7,30,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
787729be,31,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
e441da80,32,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
08ff903e,33,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
47f2cddd,34,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
e1ee5f5c,35,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
2edd7ffe,36,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
26ee16ba,37,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
0b696a0c,38,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
37a49687,39,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
0113152f,40,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
f38b40ac,41,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
89f71526,42,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
23a7038f,43,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
7a895def,44,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
73c091d2,45,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
145da981,46,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
ede3f942,47,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
7921b86b,48,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
46e45728,49,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
9077be25,50,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
ac8eb085,51,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
eaded344,52,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
e3484c07,53,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
d7f31e68,54,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
00bb356a,55,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
4154a7a3,56,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
d3898d32,57,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
7f2781fd,58,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
420dea42,59,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
333b2b65,60,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
6fece68e,61,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
1724dac2,62,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
a1e0c981,63,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
aab78b25,64,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
26c8c88c,65,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
89ab0d46,66,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
ea8f4658,67,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
c21df211,68,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
7b950fc2,69,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
b1e8b87f,70,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
667a0587,71,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
b6de636f,72,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
603755a5,73,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
5aa1fffd,74,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
1f39ab8b,75,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
87aa7bab,1,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
d748c3fd,2,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
22e4d633,3,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
602b47c7,4,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
11a9f635,5,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
2312021b,6,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
